Dataset Name,Algorithm Name,Cross Validation,Hyperparameters Values,Accuracy,TPR,FPR,Precision,AUC,PR Curve,Training Time,Inference Time
fertility,VAT,1,"{'net__criterion__VAT_eps': 1.1878810215168834, 'net__criterion__alpha': 1.0759464955561793, 'net__lr': 0.009300032356004519}",0.9,0.0,0.0,0.45,0.0,0.7107873851294905,6s,62502ms
fertility,VAT,2,"{'net__criterion__VAT_eps': 1.8772030269246407, 'net__criterion__alpha': 1.4883738380592262, 'net__lr': 0.001110243626405478}",0.9,0.0,0.0,0.45,0.33333333333333337,0.8654732726423903,6s,46874ms
fertility,VAT,3,"{'net__criterion__VAT_eps': 1.735123740095793, 'net__criterion__alpha': 0.9358649252656268, 'net__lr': 0.008930041214655154}",0.9,0.0,0.0,0.45,0.2222222222222222,0.8330182072829131,6s,75943ms
fertility,VAT,4,"{'net__criterion__VAT_eps': 2.8389652274893473, 'net__criterion__alpha': 1.2142412995491114, 'net__lr': 0.009988585365021879}",0.9,0.0,0.0,0.45,0.5555555555555556,0.9142460317460318,7s,93752ms
fertility,VAT,5,"{'net__criterion__VAT_eps': 2.0976270078546495, 'net__criterion__alpha': 1.2151893663724196, 'net__lr': 0.006067357423109275}",0.9,0.0,0.0,0.45,0.7777777777777778,0.9536004273504274,6s,62501ms
fertility,VAT,6,"{'net__criterion__VAT_eps': 2.1360891221878644, 'net__criterion__alpha': 1.425596638292661, 'net__lr': 0.0008032569761590808}",0.9,0.0,0.0,0.45,0.8888888888888888,0.9720202020202019,6s,88938ms
fertility,VAT,7,"{'net__criterion__VAT_eps': 2.8389652274893473, 'net__criterion__alpha': 1.2142412995491114, 'net__lr': 0.009988585365021879}",0.9,0.0,0.0,0.45,0.6666666666666667,0.9345757020757021,7s,63955ms
fertility,VAT,8,"{'net__criterion__VAT_eps': 2.0976270078546495, 'net__criterion__alpha': 1.2151893663724196, 'net__lr': 0.006067357423109275}",0.9,0.0,0.0,0.45,1.0,0.9904545454545454,6s,62500ms
fertility,VAT,9,"{'net__criterion__VAT_eps': 2.0976270078546495, 'net__criterion__alpha': 1.2151893663724196, 'net__lr': 0.006067357423109275}",0.8,0.0,0.0,0.4,0.1875,0.6769927269153275,6s,46874ms
fertility,VAT,10,"{'net__criterion__VAT_eps': 2.0976270078546495, 'net__criterion__alpha': 1.2151893663724196, 'net__lr': 0.006067357423109275}",0.8,0.0,0.0,0.4,1.0,0.9634848484848485,8s,46875ms
fri_c0_250_5,VAT,1,"{'net__criterion__VAT_eps': 1.1878810215168834, 'net__criterion__alpha': 1.0759464955561793, 'net__lr': 0.009300032356004519}",0.84,0.8461538461538461,0.16666666666666666,0.8397435897435898,0.8397435897435899,0.7957195500746375,11s,46875ms
fri_c0_250_5,VAT,2,"{'net__criterion__VAT_eps': 1.875174422525385, 'net__criterion__alpha': 1.3917730007820799, 'net__lr': 0.00964026132896019}",0.68,0.6923076923076923,0.3333333333333333,0.6794871794871795,0.7884615384615384,0.7924601371756131,12s,46875ms
fri_c0_250_5,VAT,3,"{'net__criterion__VAT_eps': 2.64198645969587, 'net__criterion__alpha': 0.5971012757930613, 'net__lr': 0.008395654584238159}",0.84,0.6923076923076923,0.0,0.875,0.9551282051282052,0.9128411472425988,10s,80943ms
fri_c0_250_5,VAT,4,"{'net__criterion__VAT_eps': 1.3179391672910394, 'net__criterion__alpha': 0.6103751411643051, 'net__lr': 0.006597662935706208}",0.92,0.9230769230769231,0.08333333333333333,0.9198717948717949,0.9551282051282053,0.9580274800222539,12s,46877ms
fri_c0_250_5,VAT,5,"{'net__criterion__VAT_eps': 1.5922803950442899, 'net__criterion__alpha': 0.618727718954244, 'net__lr': 0.003248033476000363}",0.84,0.7692307692307693,0.08333333333333333,0.8474025974025974,0.9551282051282052,0.9374785679777167,11s,78125ms
fri_c0_250_5,VAT,6,"{'net__criterion__VAT_eps': 2.173025869620166, 'net__criterion__alpha': 0.5201075461874936, 'net__lr': 0.008306506289251895}",0.8,0.8333333333333334,0.23076923076923078,0.8012820512820513,0.9102564102564102,0.9222516621055522,16s,62498ms
fri_c0_250_5,VAT,7,"{'net__criterion__VAT_eps': 2.64198645969587, 'net__criterion__alpha': 0.5971012757930613, 'net__lr': 0.008395654584238159}",0.72,0.75,0.3076923076923077,0.7211538461538461,0.8910256410256411,0.9045333315149648,15s,57959ms
fri_c0_250_5,VAT,8,"{'net__criterion__VAT_eps': 2.363640598206967, 'net__criterion__alpha': 0.859507900573786, 'net__lr': 0.004426616342613481}",0.8,0.8333333333333334,0.23076923076923078,0.8012820512820513,0.8846153846153847,0.9013118692647056,12s,46874ms
fri_c0_250_5,VAT,9,"{'net__criterion__VAT_eps': 1.1742585994030814, 'net__criterion__alpha': 0.5202183974403257, 'net__lr': 0.008342936470924586}",0.96,1.0,0.07692307692307693,0.9615384615384616,0.9871794871794872,0.9862420309325859,8s,31248ms
fri_c0_250_5,VAT,10,"{'net__criterion__VAT_eps': 1.5801552144208881, 'net__criterion__alpha': 1.1180154289988415, 'net__lr': 0.0043448101393630855}",0.8,0.6666666666666666,0.07692307692307693,0.8194444444444444,0.9294871794871794,0.9006023272384964,14s,62499ms
hill-valley,VAT,1,"{'net__criterion__VAT_eps': 2.363640598206967, 'net__criterion__alpha': 0.859507900573786, 'net__lr': 0.004426616342613481}",0.5,0.819672131147541,0.819672131147541,0.5,0.4733942488578339,0.5132230885917707,80s,46878ms
hill-valley,VAT,2,"{'net__criterion__VAT_eps': 1.6371379049026473, 'net__criterion__alpha': 1.1674103799636817, 'net__lr': 0.0014047988378034827}",0.5,1.0,1.0,0.25,0.5274119860252621,0.5020737425024242,65s,48965ms
hill-valley,VAT,3,"{'net__criterion__VAT_eps': 2.1360891221878644, 'net__criterion__alpha': 1.425596638292661, 'net__lr': 0.0008032569761590808}",0.49586776859504134,1.0,1.0,0.24793388429752067,0.5409836065573771,0.5198300429052397,67s,32976ms
hill-valley,VAT,4,"{'net__criterion__VAT_eps': 2.1360891221878644, 'net__criterion__alpha': 1.425596638292661, 'net__lr': 0.0008032569761590808}",0.5289256198347108,0.05,0.0,0.7584745762711864,0.4879781420765027,0.5400842874024496,66s,31250ms
hill-valley,VAT,5,"{'net__criterion__VAT_eps': 2.1360891221878644, 'net__criterion__alpha': 1.425596638292661, 'net__lr': 0.0008032569761590808}",0.49586776859504134,1.0,1.0,0.24793388429752067,0.485792349726776,0.5043370342056038,65s,31250ms
hill-valley,VAT,6,"{'net__criterion__VAT_eps': 2.1523146688356736, 'net__criterion__alpha': 1.092041931271839, 'net__lr': 0.005765293867329647}",0.4793388429752066,0.9666666666666667,1.0,0.24369747899159663,0.48333333333333334,0.36892082480629296,65s,31249ms
hill-valley,VAT,7,"{'net__criterion__VAT_eps': 1.3179391672910394, 'net__criterion__alpha': 0.6103751411643051, 'net__lr': 0.006597662935706208}",0.49586776859504134,0.19672131147540983,0.2,0.49742268041237114,0.4930327868852459,0.503356509565138,66s,46876ms
hill-valley,VAT,8,"{'net__criterion__VAT_eps': 1.8772030269246407, 'net__criterion__alpha': 1.4883738380592262, 'net__lr': 0.001110243626405478}",0.4793388429752066,0.01639344262295082,0.05,0.3685897435897436,0.47704918032786886,0.4691506865748135,65s,62500ms
